epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
181,4646.68,1.04301,0.7126,1.06592,0.57634,0.5,0.53097,0.22184,2.49124,1.45671,2.29813,0.000218,0.000218,0.000218
182,4672.72,1.09479,0.74225,1.07416,0.56088,0.5,0.49126,0.20198,2.58046,1.49783,2.39873,0.0002081,0.0002081,0.0002081
183,4698.68,0.95383,0.65696,1.0353,0.52409,0.46154,0.4841,0.19927,2.60133,1.53418,2.41741,0.0001982,0.0001982,0.0001982
184,4724.61,1.05942,0.70663,1.0821,0.543,0.50279,0.49336,0.20035,2.6005,1.53495,2.39159,0.0001883,0.0001883,0.0001883
185,4750.98,1.0171,0.67989,1.03591,0.52365,0.5,0.48906,0.19036,2.58448,1.55464,2.34389,0.0001784,0.0001784,0.0001784
186,4777.13,1.02076,0.69918,1.03976,0.62652,0.45203,0.50256,0.19546,2.5472,1.57063,2.3006,0.0001685,0.0001685,0.0001685
187,4802.72,0.9673,0.70138,1.00227,0.52983,0.46154,0.51977,0.20936,2.51593,1.55231,2.27699,0.0001586,0.0001586,0.0001586
188,4828.17,1.01446,0.70419,1.02554,0.53433,0.48585,0.51959,0.21247,2.48278,1.5654,2.23768,0.0001487,0.0001487,0.0001487
189,4854.56,1.01834,0.70779,1.06084,0.55524,0.52849,0.52677,0.21761,2.47553,1.55035,2.23538,0.0001388,0.0001388,0.0001388
190,4881.1,0.95032,0.68405,1.03167,0.59757,0.5,0.51989,0.2185,2.47743,1.5258,2.26125,0.0001289,0.0001289,0.0001289
191,4907.26,0.93224,0.66468,1.04916,0.59576,0.53846,0.51543,0.20823,2.4927,1.53013,2.30164,0.000119,0.000119,0.000119
192,4932.92,0.93597,0.65005,1.04751,0.50662,0.51375,0.50547,0.20012,2.51011,1.51972,2.34409,0.0001091,0.0001091,0.0001091
193,4958.99,0.9064,0.6298,1.02774,0.45667,0.53846,0.48509,0.19135,2.51781,1.52432,2.36631,9.92e-05,9.92e-05,9.92e-05
194,4985.2,0.87433,0.59462,0.9998,0.46197,0.53846,0.48281,0.19456,2.5505,1.55231,2.40216,8.93e-05,8.93e-05,8.93e-05
195,5011.84,0.90716,0.61715,1.00306,0.46467,0.53846,0.48486,0.1933,2.55,1.54815,2.41002,7.94e-05,7.94e-05,7.94e-05
196,5037.54,0.95241,0.6317,1.00562,0.46451,0.53394,0.49062,0.19618,2.54527,1.53599,2.40596,6.95e-05,6.95e-05,6.95e-05
197,5064.1,0.89679,0.61445,1.00826,0.45637,0.53846,0.4855,0.19555,2.53785,1.52375,2.39882,5.96e-05,5.96e-05,5.96e-05
198,5090.09,0.86254,0.63876,0.98372,0.46189,0.56153,0.47948,0.19493,2.5214,1.51094,2.39228,4.97e-05,4.97e-05,4.97e-05
199,5116.21,0.83337,0.61514,0.98676,0.46745,0.57692,0.49283,0.19609,2.51339,1.5217,2.39348,3.98e-05,3.98e-05,3.98e-05
200,5142.89,0.90725,0.61499,0.99996,0.46769,0.57692,0.49104,0.19191,2.50761,1.51651,2.39196,2.99e-05,2.99e-05,2.99e-05
